"group" "methylationClass" "color"
"Sarcoma, uncertain differentiation" "EMCS" "#4fb852"
"Sarcoma, chondrogenic" "CSA (A)" "#005da4"
"Sarcoma, chondrogenic" "CSA (B)" "#326392"
"Sarcoma, chondrogenic" "CSA (IDH A)" "#6282c2"
"Sarcoma, chondrogenic" "CSA (IDH B)" "#1b75bc"
"Sarcoma, chondrogenic" "CSA (MES)" "#4b5daa"
"Sarcoma, notochordal" "CHORD" "#1f3761"
"Sarcoma, notochordal" "CHORD (DD)" "#172948"
"Control" "CTRL (BLOOD)" "#67686c"
"Control" "CTRL (MUS)" "#7c7e82"
"Control" "CTRL (REA)" "#cacbcd"
"Sarcoma, myo-/fibroblastic" "DFSP" "#c64a9b"
"Sarcoma, myo-/fibroblastic" "DTFM" "#db6e9d"
"Sarcoma, uncertain differentiation" "DSRCT" "#44bda4"
"Sarcoma, others" "ESS (HG)" "#3c1448"
"Sarcoma, others" "ESS (LG)" "#65356c"
"Sarcoma, vascular" "EHE" "#fe8c17"
"Sarcoma, uncertain differentiation" "ES" "#6abe4f"
"Sarcoma, small round cell" "EWS" "#2f4b81"
"Sarcoma, undefined" "FDY" "#5b4099"
"Sarcoma, GIST" "GIST" "#d0a82f"
"Sarcoma, osteoclastic" "GCTB" "#1983c3"
"Sarcoma, myo-/fibroblastic" "IFS" "#ab0066"
"Sarcoma, myo-/fibroblastic" "IMT" "#901e5b"
"Sarcoma, vascular" "Kaposi" "#df7d38"
"Sarcoma, non-mesenchymal" "LCH" "#4d2d80"
"Sarcoma, smooth muscle" "LMO" "#ded49d"
"Sarcoma, smooth muscle" "LMS" "#ddb081"
"Sarcoma, lipomatous" "LIPO" "#fff450"
"Sarcoma, myo-/fibroblastic" "LGFMS" "#70003e"
"Sarcoma, nerve sheath" "MPNST" "#b55a27"
"Sarcoma, uncertain differentiation" "MRT" "#55a458"
"Sarcoma, myo-/fibroblastic" "MO" "#e8a9cc"
"Sarcoma, myo-/fibroblastic" "MP" "#c57d95"
"Sarcoma, lipomatous" "MLS" "#f5d21a"
"Sarcoma, nerve sheath" "NFB" "#975929"
"Sarcoma, nerve sheath" "NFB (PLEX)" "#6e4027"
"Sarcoma, myo-/fibroblastic" "NFA" "#facad1"
"Sarcoma, uncertain differentiation" "OFMT" "#82c66f"
"Sarcoma, osteogenic" "OB" "#6b66ae"
"Sarcoma, osteogenic" "OS (HG)" "#2e3092"
"Sarcoma, skeletal muscle" "RMS (ALV)" "#fda746"
"Sarcoma, skeletal muscle" "RMS (EMB)" "#f79360"
"Sarcoma, skeletal muscle" "RMS (MYOD1)" "#000000"
"Sarcoma, novel" "SARC (MPNST-like)" "#b4080b"
"Sarcoma, myo-/fibroblastic" "SEF" "#560030"
"Sarcoma, small round cell" "SBRCT (BCOR)" "#45565f"
"Sarcoma, small round cell" "SBRCT (CIC)" "#224571"
"Sarcoma, myo-/fibroblastic" "SFT" "#a5257f"
"Sarcoma, novel" "SARC (RMS-like)" "#f32608"
"Sarcoma, non-mesenchymal" "SCC (CUT)" "#231f20"
"Sarcoma, uncertain differentiation" "SYSA" "#7cc24b"
"Sarcoma, undifferentiated" "USARC" "#218843"
"Sarcoma, lipomatous" "WDLS/DDLS" "#ffc20d"
